Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",149.357734,-111.505022,180.000000,top
"C2","100n","C_0402_1005Metric",144.000000,-98.500000,0.000000,top
"C3","100n","C_0402_1005Metric",152.522960,-103.000000,-90.000000,top
"C4","100n","C_0402_1005Metric",140.457034,-102.258562,90.000000,top
"C5","10u","C_0201_0603Metric",144.000000,-99.677482,0.000000,top
"C6","10n","C_0402_1005Metric",140.500000,-106.500000,90.000000,top
"C7","1u","C_0402_1005Metric",140.196039,-111.211575,180.000000,top
"C8","1u","C_0402_1005Metric",140.204344,-112.780833,180.000000,top
"C9","100n","C_0402_1005Metric",140.500000,-108.500000,-90.000000,top
"C10","10pF","C_0402_1005Metric",138.000000,-103.324104,90.000000,top
"C11","10pF","C_0402_1005Metric",138.000000,-105.500000,90.000000,top
"C12","22u","C_0805_2012Metric",164.500000,-113.900000,90.000000,top
"C13","22u","C_0805_2012Metric",159.785910,-108.749348,0.000000,top
"D1","RED","LED_0603_1608Metric",167.310923,-112.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",142.000000,-112.000000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",166.000000,-104.158629,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",162.000000,-93.900000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",149.500000,-93.900000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",143.700000,-119.000000,90.000000,top
"R1","10k","R_0402_1005Metric",136.000000,-98.400000,0.000000,top
"R2","1k5","R_0402_1005Metric",158.507519,-103.609117,-90.000000,top
"R3","1k5","R_0402_1005Metric",167.589356,-110.207051,180.000000,top
"R4","2k2","R_0402_1005Metric",146.107044,-114.500000,180.000000,top
"R5","2k2","R_0402_1005Metric",148.320000,-114.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",134.529126,-94.076375,180.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",146.500000,-105.500000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",159.785910,-114.249348,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",135.500000,-104.324104,-90.000000,top
